"","CourseTitle","Term","Faculty","CourseSection","Phase","Area","Campus","Meeting Pattern","Bids","Closing Cost","Seats Available","Total seats","Enrolled","Program","WaitList","OpenSeats","Class","InstructorOverall","Learning","Difficulty","Global","Examples","Workload","Total Responses","Number of enrollees","year","quarter","phase","course","credit","eff"
"3634","Board Governance of Non-Profit Organizations","Spring 2018","Howard, Liz","KPPI-455-5 (70)","Spring 2018 Bidding Phase II","KPPI","Chicago","Mon 6:00 PM - 9:00 PM",0,0,13,15,0,"Weekend",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","KPPI-455",0.5,NA
"3635","Values Based Leadership","Spring 2018","Waytz, Adam","KPPI-460-0 (70)","Spring 2018 Bidding Phase I","KPPI","Chicago","Tue 6:00 PM - 9:00 PM",1,0,10,10,1,"Weekend",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KPPI-460",1,NA
"3636","Values Based Leadership","Spring 2018","Waytz, Adam","KPPI-460-0 (70)","Spring 2018 Bidding Phase II","KPPI","Chicago","Tue 6:00 PM - 9:00 PM",0,0,9,10,0,"Weekend",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","KPPI-460",1,NA
"3637","Public Economics for Business Leaders: Federal Policy","Spring 2018","Besanko, David","KPPI-470-0 (70)","Spring 2018 Bidding Phase I","KPPI","Chicago","Fri 6:00 PM - 9:00 PM",18,0,32,32,18,"Weekend",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KPPI-470",1,NA
"3638","Corporate Social Innovation","Spring 2018","Schuyler, Shannon","KPPI-917-5 (80)","Spring 2018 Bidding Phase I","KPPI","Evanston","Fri 1:30 PM - 4:30 PM",2,0,5,5,2,"Weekend",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KPPI-917",0.5,NA
"3639","Corporate Social Innovation","Spring 2018","Schuyler, Shannon","KPPI-917-5 (80)","Spring 2018 Bidding Phase II","KPPI","Evanston","Fri 1:30 PM - 4:30 PM",0,0,3,5,0,"Weekend",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","KPPI-917",0.5,NA
"3640","Microeconomic Analysis","Spring 2018","Aaronson, Daniel","MECN-430-0 (71)","Spring 2018 Bidding Phase I","MECN","Chicago","Tue 6:00 PM - 9:00 PM",54,0,65,65,54,"Evening",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MECN-430",1,NA
"3641","Microeconomic Analysis","Spring 2018","Aaronson, Daniel","MECN-430-0 (71)","Spring 2018 Bidding Phase II","MECN","Chicago","Tue 6:00 PM - 9:00 PM",2,0,18,65,2,"Evening",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MECN-430",1,NA
"3642","Decision Making and Modeling","Spring 2018","Al-Najjar, Nabil","MECN-451-0 (30)","Spring 2018 Bidding Phase I","MECN","Chicago","Tue 6:00 PM - 9:00 PM",13,0,47,47,13,"Evening",0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MECN-451",1,NA
"3643","Decision Making and Modeling","Spring 2018","Al-Najjar, Nabil","MECN-451-0 (30)","Spring 2018 Bidding Phase II","MECN","Chicago","Tue 6:00 PM - 9:00 PM",2,0,36,47,2,"Evening",0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MECN-451",1,NA
"3644","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",49,0,54,55,49,"Full-Time",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-462",1,NA
"3645","Business-to-Business (B2B) Marketing","Spring 2018","Berggren, Eric","MKTG-453-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Wed 6:30 PM - 9:30 PM",0,0,0,57,0,"Full-Time",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-453",1,NA
"3646","Launching New Products and Services","Spring 2018","Maimaran, Michal","MKTG-465-0 (61)","Spring 2018 Bidding Phase I","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",11,0,63,65,11,"Full-Time",0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-465",1,NA
"3647","Launching New Products and Services","Spring 2018","Maimaran, Michal","MKTG-465-0 (61)","Spring 2018 Bidding Phase II","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",10,0,38,50,10,"Full-Time",0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-465",1,NA
"3648","Launching New Products and Services","Spring 2018","Maimaran, Michal","MKTG-465-0 (62)","Spring 2018 Bidding Phase I","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",20,0,64,65,20,"Full-Time",0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-465",1,NA
"3649","Launching New Products and Services","Spring 2018","Maimaran, Michal","MKTG-465-0 (62)","Spring 2018 Bidding Phase II","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",14,0,29,50,14,"Full-Time",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-465",1,NA
"3650","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (81)","Spring 2018 Bidding Phase I","MKTG","Evanston","Mon 6:30 PM - 9:30 PM",23,0,52,55,23,"Full-Time",0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-451",1,NA
"3651","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (81)","Spring 2018 Bidding Phase II","MKTG","Evanston","Mon 6:30 PM - 9:30 PM",24,0,29,55,24,"Full-Time",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-451",1,NA
"3652","Strategic Brand Management","Spring 2018","Chernev, Alexander","MKTG-473-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",0,0,0,59,0,"Evening",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-473",1,NA
"3653","Competitive Strategy and Industrial Structure","Spring 2018","Salant, Yuval","MECN-441-0 (62)","Spring 2018 Bidding Phase I","MECN","Evanston","Mon/Thu 3:30 PM - 5:00 PM",46,0,64,65,64,"Full-Time",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MECN-441",1,NA
"3654","Technology Marketing","Spring 2018","Sawhney, Mohanbir","MKTG-468-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Tue 6:30 PM - 9:30 PM",1,0,4,4,1,"Evening",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-468",1,NA
"3655","Marketing Research and Analytics","Spring 2018","Bockenholt, Ulf","MKTG-450-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",5,0,8,8,5,"Weekend",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-450",1,NA
"3656","Marketing Research and Analytics","Spring 2018","Bockenholt, Ulf","MKTG-450-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",0,0,4,8,0,"Weekend",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-450",1,NA
"3657","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Sat 1:30 PM - 4:30 PM",26,0,50,50,26,"Weekend",0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-451",1,NA
"3658","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Sat 1:30 PM - 4:30 PM",7,0,26,50,7,"Weekend",0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-451",1,NA
"3659","Business-to-Business (B2B) Marketing","Spring 2018","Berggren, Eric","MKTG-453-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Wed 6:30 PM - 9:30 PM",0,0,2,2,0,"Weekend",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-453",1,NA
"3660","Business-to-Business (B2B) Marketing","Spring 2018","Berggren, Eric","MKTG-453-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Wed 6:30 PM - 9:30 PM",1,0,2,2,1,"Weekend",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-453",1,NA
"3661","Advertising Strategy","Spring 2018","Pearlman, Mary","MKTG-454-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Sat 9:00 AM - 12:00 PM",20,0,35,35,20,"Weekend",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-454",1,NA
"3662","Advertising Strategy","Spring 2018","Pearlman, Mary","MKTG-454-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Sat 9:00 AM - 12:00 PM",2,0,18,35,2,"Weekend",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-454",1,NA
"3663","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",3,0,15,15,3,"Weekend",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-462",1,NA
"3664","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",0,0,12,15,0,"Weekend",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-462",1,NA
"3665","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",1,0,7,7,1,"Weekend",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-462",1,NA
"3666","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",1,0,6,7,1,"Weekend",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-462",1,NA
"3667","Marketing Strategy","Spring 2018","Hennessy, Julie","MKTG-466-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",0,0,3,3,0,"Weekend",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-466",1,NA
"3668","Marketing Strategy","Spring 2018","Hennessy, Julie","MKTG-466-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",1,0,3,3,1,"Weekend",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-466",1,NA
"3669","Technology Marketing","Spring 2018","Sawhney, Mohanbir","MKTG-468-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Tue 6:30 PM - 9:30 PM",1,0,3,3,1,"Weekend",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-468",1,NA
"3670","Strategic Brand Management","Spring 2018","Chernev, Alexander","MKTG-473-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",4,0,6,6,4,"Weekend",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-473",1,NA
"3671","Decision Making and Modeling","Spring 2018","Al-Najjar, Nabil","MECN-451-0 (30)","Spring 2018 Bidding Phase I","MECN","Chicago","Tue 6:00 PM - 9:00 PM",6,0,13,13,6,"Full-Time",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MECN-451",1,NA
"3672","Decision Making and Modeling","Spring 2018","Al-Najjar, Nabil","MECN-451-0 (30)","Spring 2018 Bidding Phase II","MECN","Chicago","Tue 6:00 PM - 9:00 PM",6,0,8,13,6,"Full-Time",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MECN-451",1,NA
"3673","Game Theory and Strategic Decisions","Spring 2018","Shmaya, Eran","MECN-452-0 (61)","Spring 2018 Bidding Phase I","MECN","Evanston","Mon/Thu 1:30 PM - 3:00 PM",16,0,64,65,16,"Full-Time",0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MECN-452",1,NA
"3674","Game Theory and Strategic Decisions","Spring 2018","Shmaya, Eran","MECN-452-0 (61)","Spring 2018 Bidding Phase II","MECN","Evanston","Mon/Thu 1:30 PM - 3:00 PM",17,0,48,65,17,"Full-Time",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MECN-452",1,NA
"3675","Microeconomic Analysis","Spring 2018","Dale, Donald","MECN-430-0 (76)","Spring 2018 Bidding Phase I","MECN","Chicago","Sat 9:00 AM - 12:00 PM",4,0,18,65,4,"Weekend",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MECN-430",1,NA
"3676","Decision Making and Modeling","Spring 2018","Al-Najjar, Nabil","MECN-451-0 (30)","Spring 2018 Bidding Phase I","MECN","Chicago","Tue 6:00 PM - 9:00 PM",0,0,5,5,0,"Weekend",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MECN-451",1,NA
"3677","Decision Making and Modeling","Spring 2018","Al-Najjar, Nabil","MECN-451-0 (30)","Spring 2018 Bidding Phase II","MECN","Chicago","Tue 6:00 PM - 9:00 PM",0,0,5,5,0,"Weekend",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MECN-451",1,NA
"3678","Marketing Management","Spring 2018","McTigue, Kevin","MKTG-430-0 (71)","Spring 2018 Bidding Phase I","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",36,0,64,65,36,"Evening",0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-430",1,NA
"3679","Marketing Management","Spring 2018","McTigue, Kevin","MKTG-430-0 (71)","Spring 2018 Bidding Phase II","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",4,0,29,65,4,"Evening",0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-430",1,NA
"3680","Marketing Research and Analytics","Spring 2018","Bockenholt, Ulf","MKTG-450-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",18,0,57,57,18,"Evening",0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-450",1,NA
"3681","Marketing Research and Analytics","Spring 2018","Bockenholt, Ulf","MKTG-450-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",5,0,41,57,5,"Evening",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-450",1,NA
"3682","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Sat 1:30 PM - 4:30 PM",11,0,15,15,11,"Evening",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-451",1,NA
"3683","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Sat 1:30 PM - 4:30 PM",5,0,7,15,5,"Evening",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-451",1,NA
"3684","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (81)","Spring 2018 Bidding Phase I","MKTG","Evanston","Mon 6:30 PM - 9:30 PM",3,0,10,10,3,"Evening",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-451",1,NA
"3685","Marketing Channel Strategies","Spring 2018","Coughlan, Anne","MKTG-451-0 (81)","Spring 2018 Bidding Phase II","MKTG","Evanston","Mon 6:30 PM - 9:30 PM",3,0,7,10,3,"Evening",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-451",1,NA
"3686","Business-to-Business (B2B) Marketing","Spring 2018","Berggren, Eric","MKTG-453-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Wed 6:30 PM - 9:30 PM",2,0,6,6,2,"Evening",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-453",1,NA
"3687","Business-to-Business (B2B) Marketing","Spring 2018","Berggren, Eric","MKTG-453-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Wed 6:30 PM - 9:30 PM",0,0,4,6,0,"Evening",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-453",1,NA
"3688","Advertising Strategy","Spring 2018","Pearlman, Mary","MKTG-454-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Sat 9:00 AM - 12:00 PM",7,0,15,15,7,"Evening",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-454",1,NA
"3689","Advertising Strategy","Spring 2018","Pearlman, Mary","MKTG-454-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Sat 9:00 AM - 12:00 PM",4,0,9,15,4,"Evening",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-454",1,NA
"3690","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",25,0,50,50,25,"Evening",0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-462",1,NA
"3691","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",1,0,29,50,1,"Evening",0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-462",1,NA
"3692","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",0,0,3,3,0,"Evening",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-462",1,NA
"3693","Retail Analytics","Spring 2018","Gordon, Brett","MKTG-462-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",0,0,3,3,0,"Evening",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-462",1,NA
"3694","Marketing Strategy","Spring 2018","Hennessy, Julie","MKTG-466-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",2,0,7,7,2,"Evening",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-466",1,NA
"3695","Corporate Social Innovation","Spring 2018","Schuyler, Shannon","KPPI-917-5 (80)","Spring 2018 Bidding Phase I","KPPI","Evanston","Fri 1:30 PM - 4:30 PM",27,0,37,40,27,"Full-Time",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KPPI-917",0.5,NA
"3696","Decision-Making for Sustainable Business","Spring 2018","Preston, Malcolm","KPPI-947-5 (81)","Spring 2018 Bidding Phase I","KPPI","Evanston","Wed 6:30 PM - 9:30 PM",30,0,53,55,30,"Full-Time",0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KPPI-947",0.5,NA
"3697","Decision-Making for Sustainable Business","Spring 2018","Preston, Malcolm","KPPI-947-5 (81)","Spring 2018 Bidding Phase I","KPPI","Evanston","Wed 6:30 PM - 9:30 PM",5,0,10,10,5,"Evening",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KPPI-947",0.5,NA
"3698","Decision-Making for Sustainable Business","Spring 2018","Preston, Malcolm","KPPI-947-5 (81)","Spring 2018 Bidding Phase II","KPPI","Evanston","Wed 6:30 PM - 9:30 PM",0,0,5,10,0,"Evening",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","KPPI-947",0.5,NA
"3699","Strategy Beyond Markets","Spring 2018","Minor, Dylan","KPPI-441-0 (80)","Spring 2018 Bidding Phase I","KPPI","Evanston","Fri 1:30 PM - 4:30 PM",16,0,52,55,16,"Full-Time",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KPPI-441",1,NA
"3700","Strategy Beyond Markets","Spring 2018","Minor, Dylan","KPPI-441-0 (80)","Spring 2018 Bidding Phase II","KPPI","Evanston","Fri 1:30 PM - 4:30 PM",13,0,37,55,13,"Full-Time",0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","KPPI-441",1,NA
"3701","Consumers, Culture, and Leadership","Spring 2018","Carpenter, Gregory","MKTG-918-5 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",0,0,0,4,0,"Evening",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-918",0.5,NA
"3702","Digital Marketing Analytics","Spring 2018","Cutler, Jennifer","MKTG-955-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",1,0,4,4,1,"Evening",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-955",1,NA
"3703","Digital Marketing Analytics","Spring 2018","Cutler, Jennifer","MKTG-955-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",0,0,3,4,0,"Evening",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-955",1,NA
"3704","Digital Marketing Analytics","Spring 2018","Cutler, Jennifer","MKTG-955-0 (89)","Spring 2018 Bidding Phase I","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",4,0,6,6,4,"Evening",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-955",1,NA
"3705","Digital Marketing Analytics","Spring 2018","Cutler, Jennifer","MKTG-955-0 (89)","Spring 2018 Bidding Phase II","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",0,0,3,6,0,"Evening",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-955",1,NA
"3706","Behavioral Marketing Science","Spring 2018","Lee, Angela","MKTG-959-0 (80)","Spring 2018 Bidding Phase I","MKTG","Evanston","Tue 1:30 PM - 4:30 PM",1,0,3,3,1,"Evening",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-959",1,NA
"3707","Behavioral Marketing Science","Spring 2018","Lee, Angela","MKTG-959-0 (81)","Spring 2018 Bidding Phase I","MKTG","Evanston","Tue 6:30 PM - 9:30 PM",1,0,5,5,1,"Evening",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-959",1,NA
"3708","Behavioral Marketing Science","Spring 2018","Lee, Angela","MKTG-959-0 (81)","Spring 2018 Bidding Phase II","MKTG","Evanston","Tue 6:30 PM - 9:30 PM",1,0,4,5,1,"Evening",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-959",1,NA
"3709","Entrepreneurial Tools for Digital Marketing","Spring 2018","Johnson, Sean","MKTG-961-5 (70)","Spring 2018 Bidding Phase I","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",15,0,57,57,15,"Evening",0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-961",0.5,NA
"3710","Entrepreneurial Tools for Digital Marketing","Spring 2018","Johnson, Sean","MKTG-961-5 (70)","Spring 2018 Bidding Phase II","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",3,0,44,57,3,"Evening",0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-961",0.5,NA
"3711","Marketing Research and Analytics","Spring 2018","Bockenholt, Ulf","MKTG-450-0 (61)","Spring 2018 Bidding Phase I","MKTG","Evanston","Tue/Fri 1:30 PM - 3:00 PM",18,0,50,50,18,"Full-Time",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MKTG-450",1,NA
"3712","Marketing Research and Analytics","Spring 2018","Bockenholt, Ulf","MKTG-450-0 (61)","Spring 2018 Bidding Phase II","MKTG","Evanston","Tue/Fri 1:30 PM - 3:00 PM",13,0,33,50,13,"Full-Time",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-450",1,NA
"3713","Regulation of Competitive Strategies","Spring 2018","McCareins, Mark","BLAW-437-0 (80)","Spring 2018 Bidding Phase II","BLAW","Evanston","Mon 6:30 PM - 9:30 PM",0,0,0,59,0,"Full-Time",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","BLAW-437",1,NA
"3714","Regulation of Competitive Strategies","Spring 2018","McCareins, Mark","BLAW-437-0 (80)","Spring 2018 Bidding Phase I","BLAW","Evanston","Mon 6:30 PM - 9:30 PM",0,0,2,2,0,"Weekend",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","BLAW-437",1,NA
"3715","Regulation of Competitive Strategies","Spring 2018","McCareins, Mark","BLAW-437-0 (80)","Spring 2018 Bidding Phase II","BLAW","Evanston","Mon 6:30 PM - 9:30 PM",0,0,2,2,0,"Weekend",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","BLAW-437",1,NA
"3716","Business Analytics I","Spring 2018","Tahbaz-Salehi, Alireza","DECS-430-5 (70)","Spring 2018 Bidding Phase I","DECS","Chicago","Sat 1:30 PM - 6:15 PM",7,0,24,25,7,"Evening",0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","DECS-430",0.5,NA
"3717","Business Analytics I","Spring 2018","Tahbaz-Salehi, Alireza","DECS-430-5 (70)","Spring 2018 Bidding Phase II","DECS","Chicago","Sat 1:30 PM - 6:15 PM",1,0,17,25,1,"Evening",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","DECS-430",0.5,NA
"3718","Business Analytics II","Spring 2018","Shmaya, Eran","DECS-431-0 (70)","Spring 2018 Bidding Phase I","DECS","Chicago","Sat 1:30 PM - 6:15 PM",3,0,20,20,3,"Evening",0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","DECS-431",1,NA
"3719","Business Analytics II","Spring 2018","Shmaya, Eran","DECS-431-0 (70)","Spring 2018 Bidding Phase II","DECS","Chicago","Sat 1:30 PM - 6:15 PM",1,0,17,20,1,"Evening",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","DECS-431",1,NA
